"x"
"Apareiodon machrisi"
"Apareiodon tigrinus"
"Aphanotorulus emarginatus"
"Aphanotorulus rubrocauda"
"Aphanotorulus unicolor"
"Aphyocharacidium bolivianum"
"Aphyocharax agassizii"
"Aphyocharax alburnus"
"Aphyocharax anisitsi"
"Aphyocharax avary"
"Aphyocharax colifax"
"Aphyocharax erythrurus"
"Aphyocharax nattereri"
"Aphyocharax pusillus"
"Aphyodite apiaka"
"Aphyodite grammica"
"Aphyodite tupebas"
"Aphyolebias boticarioi"
"Aphyolebias claudiae"
"Aphyolebias manuensis"
"Aphyolebias obliquus"
"Aphyolebias peruensis"
"Aphyolebias rubrocaudatus"
"Aphyolebias schleseri"
"Aphyolebias wischmanni"
"Apionichthys asphyxiatus"
"Apionichthys dumerili"
"Apionichthys finis"
"Apionichthys menezesi"
"Apionichthys nattereri"
"Apionichthys rosai"
"Apionichthys seripierriae"
"Apistogramma acrensis"
"Apistogramma agassizii"
"Apistogramma aguarico"
"Apistogramma alacrina"
"Apistogramma allpahuayo"
"Apistogramma amoena"
"Apistogramma angayuara"
"Apistogramma arua"
"Apistogramma atahualpa"
"Apistogramma baenschi"
"Apistogramma barlowi"
"Apistogramma bitaeniata"
"Apistogramma brevis"
"Apistogramma cacatuoides"
"Apistogramma caetei"
"Apistogramma cinilabra"
"Apistogramma cruzi"
"Apistogramma diplotaenia"
"Apistogramma eleutheria"
"Apistogramma elizabethae"
"Apistogramma eremnopyge"
"Apistogramma erythrura"
"Apistogramma eunotus"
"Apistogramma feconat"
"Apistogramma flabellicauda"
"Apistogramma flavipedunculata"
"Apistogramma geisleri"
"Apistogramma gephyra"
"Apistogramma gibbiceps"
"Apistogramma hippolytae"
"Apistogramma huascar"
"Apistogramma inconspicua"
"Apistogramma iniridae"
"Apistogramma juruensis"
"Apistogramma kullanderi"
"Apistogramma linkei"
"Apistogramma luelingi"
"Apistogramma martini"
"Apistogramma megastoma"
"Apistogramma meinkeni"
"Apistogramma mendezi"
"Apistogramma moae"
"Apistogramma nijsseni"
"Apistogramma norberti"
"Apistogramma ortegai"
"Apistogramma panduro"
"Apistogramma pantalone"
"Apistogramma paucisquamis"
"Apistogramma paulmuelleri"
"Apistogramma payaminonis"
"Apistogramma personata"
"Apistogramma pertensis"
"Apistogramma playayacu"
"Apistogramma pulchra"
"Apistogramma regani"
"Apistogramma resticulosa"
"Apistogramma rositae"
"Apistogramma rubrolineata"
"Apistogramma rupununi"
"Apistogramma salpinction"
"Apistogramma similis"
"Apistogramma sororcula"
"Apistogramma staecki"
"Apistogramma steindachneri"
"Apistogramma taeniata"
"Apistogramma trifasciata"
"Apistogramma tucurui"
"Apistogramma uaupesi"
"Apistogramma urteagai"
"Apistogramma wapisana"
"Apistogramma wolli"
"Apistogrammoides pucallpaensis"
"Apistoloricaria condei"
"Apistoloricaria ommation"
"Apomatoceros alleni"
"Aposturisoma myriodon"
"Apteronotus albifrons"
"Apteronotus camposdapazi"
"Apteronotus lindalvae"
"Apteronotus macrolepis"
"Apteronotus quilombola"
"Araichthys loro"
"Arapaima gigas"
"Arapaima leptosoma"
"Archolaemus blax"
"Archolaemus ferreirai"
"Archolaemus janeae"
"Archolaemus luciae"
"Archolaemus santosi"
"Argonectes longiceps"
"Argonectes robertsi"
"Aspidoras albater"
"Aspidoras azaghal"
"Aspidoras belenos"
"Aspidoras brunneus"
"Aspidoras eurycephalus"
"Aspidoras gabrieli"
"Aspidoras marianae"
"Aspidoras mephisto"
"Aspidoras microgalaeus"
"Aspidoras pauciradiatus"
"Aspidoras poecilus"
"Aspidoras velites"
"Aspredo aspredo"
"Asterophysus batrachus"
"Astroblepus boulengeri"
"Astroblepus caquetae"
"Astroblepus chinchaoensis"
"Astroblepus festae"
"Astroblepus floridaensis"
"Astroblepus formosus"
"Astroblepus grixalvii"
"Astroblepus hidalgoi"
"Astroblepus huallagaensis"
"Astroblepus labialis"
"Astroblepus longiceps"
"Astroblepus longifilis"
"Astroblepus mancoi"
"Astroblepus moyanensis"
"Astroblepus ortegai"
"Astroblepus peruanus"
"Astroblepus pholeter"
"Astroblepus praeliorum"
"Astroblepus prenadillus"
"Astroblepus putumayoensis"
"Astroblepus quispei"
"Astroblepus sabalo"
"Astroblepus supramollis"
"Astroblepus taczanowskii"
"Astroblepus tamboensis"
"Astroblepus vaillanti"
"Astroblepus vanceae"
"Astrodoras asterifrons"
"Astronotus crassipinnis"
"Astronotus ocellatus"
"Astyanacinus multidens"
"Astyanax abramis"
"Astyanax ajuricaba"
"Astyanax anterior"
"Astyanax argyrimarginatus"
"Astyanax bimaculatus"
"Astyanax boliviensis"
"Astyanax bourgeti"
"Astyanax chaparae"
"Astyanax clavitaeniatus"
"Astyanax courensis"
"Astyanax dnophos"
"Astyanax elachylepis"
"Astyanax fasciatus"
"Astyanax festae"
"Astyanax gandhiae"
"Astyanax goyacensis"
"Astyanax goyanensis"
"Astyanax gracilior"
"Astyanax guaporensis"
"Astyanax guianensis"
"Astyanax integer"
"Astyanax joaovitori"
"Astyanax kennedyi"
"Astyanax kullanderi"
"Astyanax longior"
"Astyanax maculisquamis"
"Astyanax maximus"
"Astyanax microlepis"
"Astyanax multidens"
"Astyanax novae"
"Astyanax saltor"
"Astyanax schubarti"
"Astyanax stilbe"
"Astyanax symmetricus"
"Astyanax unitaeniatus"
"Astyanax utiariti"
"Astyanax villwocki"
"Astyanax xavante"
"Atopomesus pachyodus"
"Attonitus bounites"
"Attonitus ephimeros"
"Attonitus irisae"
"Auchenipterichthys coracoideus"
"Auchenipterichthys longimanus"
"Auchenipterichthys punctatus"
"Auchenipterichthys thoracatus"
"Auchenipterus ambyiacus"
"Auchenipterus brachyurus"
"Auchenipterus brevior"
"Auchenipterus britskii"
"Auchenipterus demerarae"
"Auchenipterus fordicei"
"Auchenipterus nigripinnis"
"Auchenipterus nuchalis"
"Auchenipterus osteomystax"
"Aulixidens eugeniae"
"Austrofundulus rupununi"
"Austrolebias accorsii"
"Awaous flavus"
"Axelrodia lindeae"
"Axelrodia stigmatias"
"Bario steindachneri"
"Baryancistrus chrysolomus"
"Baryancistrus hadrostomus"
"Baryancistrus longipinnis"
"Baryancistrus micropunctatus"
"Baryancistrus niveatus"
"Baryancistrus xanthellus"
"Batrochoglanis raninus"
"Batrochoglanis villosus"
"Belonion apodion"
"Belonion dibranchodon"
"Biotodoma cupido"
"Biotodoma wavrini"
"Biotoecus opercularis"
"Bivibranchia fowleri"
"Bivibranchia notata"
"Bivibranchia velox"
"Boehlkea fredcochui"
"Boehlkea weitzmani"
"Boulengerella cuvieri"
"Boulengerella lateristriga"
"Boulengerella lucius"
"Boulengerella maculata"
"Boulengerella xyrekes"
"Brachychalcinus copei"
"Brachychalcinus nummus"
"Brachychalcinus orbicularis"
"Brachychalcinus parnaibae"
"Brachychalcinus reisi"
"Brachychalcinus retrospina"
"Brachychalcinus signatus"
"Brachyglanis frenatus"
"Brachyglanis melas"
"Brachyglanis microphthalmus"
"Brachyglanis nocturnus"
"Brachyhypopomus alberti"
"Brachyhypopomus arrayae"
"Brachyhypopomus batesi"
"Brachyhypopomus beebei"
"Brachyhypopomus belindae"
"Brachyhypopomus benjamini"
"Brachyhypopomus bennetti"
"Brachyhypopomus brevirostris"
"Brachyhypopomus bullocki"
"Brachyhypopomus cunia"
"Brachyhypopomus degy"
"Brachyhypopomus flavipomus"
"Brachyhypopomus hamiltoni"
"Brachyhypopomus hendersoni"
"Brachyhypopomus pinnicaudatus"
"Brachyhypopomus provenzanoi"
"Brachyhypopomus regani"
"Brachyhypopomus sullivani"
"Brachyhypopomus verdii"
"Brachyhypopomus walteri"
"Brachyplatystoma capapretum"
"Brachyplatystoma filamentosum"
"Brachyplatystoma juruense"
"Brachyplatystoma platynemum"
"Brachyplatystoma rousseauxii"
"Brachyplatystoma tigrinum"
"Brachyplatystoma vaillantii"
"Brachyrhamdia heteropleura"
"Brachyrhamdia marthae"
"Brachyrhamdia meesi"
"Brachyrhamdia rambarrani"
"Brachyrhamdia thayeria"
"Brittanichthys axelrodi"
"Brittanichthys myersi"
"Brochis multiradiatus"
"Brycon amazonicus"
"Brycon bicolor"
"Brycon cephalus"
"Brycon coxeyi"
"Brycon falcatus"
"Brycon gouldingi"
"Brycon henni"
"Brycon hilarii"
"Brycon melanopterus"
"Brycon nattereri"
"Brycon pesu"
"Brycon polylepis"
"Brycon stolzmanni"
"Bryconacidnus ellisae"
"Bryconacidnus hemigrammus"
"Bryconacidnus paipayensis"
"Bryconadenos tanaothoros"
"Bryconadenos weitzmani"
"Bryconamericus alfredae"
"Bryconamericus alpha"
"Bryconamericus andresoi"
"Bryconamericus bolivianus"
"Bryconamericus brevirostris"
"Bryconamericus carlosi"
"Bryconamericus cinarucoense"
"Bryconamericus deuterodonoides"
"Bryconamericus diaphanus"
"Bryconamericus galvisi"
"Bryconamericus grosvenori"
"Bryconamericus macrophthalmus"
"Bryconamericus novae"
"Bryconamericus orinocoense"
"Bryconamericus osgoodi"
"Bryconamericus pachacuti"
"Bryconamericus pectinatus"
"Bryconamericus phoenicopterus"
"Bryconamericus pinnavittatus"
"Bryconamericus subtilisform"
"Bryconamericus zamorensis"
"Bryconella pallidifrons"
"Bryconexodon juruenae"
"Bryconexodon trombetasi"
"Bryconops affinis"
"Bryconops alburnoides"
"Bryconops allisoni"
"Bryconops caudomaculatus"
"Bryconops chernoffi"
"Bryconops collettei"
"Bryconops disruptus"
"Bryconops durbini"
"Bryconops giacopinii"
"Bryconops gracilis"
"Bryconops hexalepis"
"Bryconops humeralis"
"Bryconops inpai"
"Bryconops marabaixo"
"Bryconops melanurus"
"Bryconops munduruku"
"Bryconops piracolina"
"Bryconops rheoruber"
"Bryconops sapezal"
"Bryconops tocantinensis"
"Bryconops transitoria"
"Bujurquina apoparuana"
"Bujurquina cordemadi"
"Bujurquina eurhinus"
"Bujurquina hophrys"
"Bujurquina huallagae"
"Bujurquina labiosa"
"Bujurquina mariae"
"Bujurquina megalospilus"
"Bujurquina moriorum"
"Bujurquina ortegai"
"Bujurquina pardus"
"Bujurquina peregrinabunda"
"Bujurquina robusta"
"Bujurquina syspilus"
"Bujurquina tambopatae"
"Bujurquina vittata"
"Bujurquina zamorensis"
"Bunocephalus aleuropsis"
"Bunocephalus coracoideus"
"Bunocephalus knerii"
"Bunocephalus verrucosus"
"Caenotropus labyrinthicus"
"Caenotropus maculosus"
"Caenotropus mestomorgmatos"
"Caenotropus schizodon"
"Caiapobrycon tucurui"
"Callichthys callichthys"
"Callichthys serralabium"
"Calophysus macropterus"
"Caquetaia kraussii"
"Caquetaia myersi"
"Caquetaia spectabilis"
"Carnegiella marthae"
"Carnegiella myersi"
"Carnegiella schereri"
"Carnegiella strigata"
"Catoprion absconditus"
"Catoprion mento"
"Centrodoras brachiatus"
"Centrodoras hasemani"
"Centromochlus altae"
"Centromochlus existimatus"
"Centromochlus heckelii"
"Centromochlus macracanthus"
"Centromochlus meridionalis"
"Centromochlus orca"
"Centromochlus perugiae"
"Centromochlus reticulatus"
"Centromochlus schultzi"
"Cephalosilurus apurensis"
"Ceratobranchia binghami"
"Ceratobranchia delotaenia"
"Ceratobranchia elatior"
"Ceratobranchia joanae"
"Ceratobranchia obtusirostris"
"Cetopsidium ferreirai"
"Cetopsidium orientale"
"Cetopsidium pemon"
"Cetopsidium soniae"
"Cetopsis arcana"
"Cetopsis caiapo"
"Cetopsis candiru"
"Cetopsis coecutiens"
"Cetopsis gobioides"
"Cetopsis montana"
"Cetopsis oliveirai"
"Cetopsis parma"
"Cetopsis pearsoni"
"Cetopsis plumbea"
"Cetopsis sandrae"
"Cetopsis sarcodes"
"Cetopsis starnesi"
"Cetopsorhamdia clathrata"
"Cetopsorhamdia filamentosa"
"Cetopsorhamdia hidalgoi"
"Cetopsorhamdia iheringi"
"Cetopsorhamdia insidiosa"
"Cetopsorhamdia molinae"
"Cetopsorhamdia orinoco"
"Cetopsorhamdia phantasia"
"Cetopsorhamdia spilopleura"
"Chaetobranchopsis australis"
"Chaetobranchopsis orbicularis"
"Chaetobranchus flavescens"
"Chaetobranchus semifasciatus"
"Chaetostoma alternifasciatum"
"Chaetostoma anale"
"Chaetostoma branickii"
"Chaetostoma breve"
"Chaetostoma changae"
"Chaetostoma daidalmatos"
"Chaetostoma dermorhynchum"
"Chaetostoma jegui"
"Chaetostoma leucomelas"
"Chaetostoma lineopunctatum"
"Chaetostoma loborhynchos"
"Chaetostoma marmorescens"
"Chaetostoma microps"
"Chaetostoma mollinasum"
"Chaetostoma spondylus"
"Chaetostoma stroumpoulos"
"Chaetostoma taczanowskii"
"Chaetostoma trimaculineum"
"Chaetostoma vagum"
"Chalceus epakros"
"Chalceus erythrurus"
"Chalceus guaporensis"
"Chalceus macrolepidotus"
"Chalceus spilogyros"
"Characidium barbosai"
"Characidium boavistae"
"Characidium boehlkei"
"Characidium bolivianum"
"Characidium crandellii"
"Characidium declivirostre"
"Characidium etheostoma"
"Characidium fasciatum"
"Characidium hasemani"
"Characidium heinianum"
"Characidium iaquira"
"Characidium longum"
"Characidium mirim"
"Characidium nambiquara"
"Characidium nana"
"Characidium papachibe"
"Characidium pellucidum"
"Characidium pteroides"
"Characidium pumarinri"
"Characidium purpuratum"
