"x"
"Dekeyseria picta"
"Dekeyseria pulchra"
"Dekeyseria scaphirhyncha"
"Denticetopsis epa"
"Denticetopsis praecox"
"Denticetopsis royeroi"
"Denticetopsis sauli"
"Denticetopsis seducta"
"Dianema longibarbis"
"Dianema urostriatum"
"Dicrossus filamentosus"
"Dicrossus foirni"
"Dicrossus maculatus"
"Dicrossus warzeli"
"Distocyclus conirostris"
"Doras carinatus"
"Doras higuchii"
"Doras phlyzakion"
"Doras zuanoni"
"Dormitator maculatus"
"Duopalatinus peruanus"
"Eigenmannia limbata"
"Eigenmannia loretana"
"Eigenmannia macrops"
"Eigenmannia matintapereira"
"Eigenmannia muirapinima"
"Eigenmannia nigra"
"Eigenmannia sirius"
"Eigenmannia trilineata"
"Eigenmannia vicentespelaea"
"Eigenmannia virescens"
"Eigenmannia waiwai"
"Elachocharax geryi"
"Elachocharax junki"
"Elachocharax mitopterus"
"Elachocharax pulcher"
"Electrophorus electricus"
"Electrophorus varii"
"Electrophorus voltai"
"Eleotris pisonis"
"Engraulisoma taeniatum"
"Entomocorus benjamini"
"Entomocorus melaphareus"
"Epapterus dispilurus"
"Ernstichthys intonsus"
"Ernstichthys megistus"
"Erythrinus erythrinus"
"Erythrocharax altipinnis"
"Etsaputu relictum"
"Exallodontus aguanai"
"Exastilithoxus fimbriatus"
"Exastilithoxus hoedemani"
"Exodon paradoxus"
"Farlowella altocorpus"
"Farlowella amazonum"
"Farlowella gianetii"
"Farlowella gracilis"
"Farlowella henriquei"
"Farlowella knerii"
"Farlowella nattereri"
"Farlowella odontotumulus"
"Farlowella oxyrryncha"
"Farlowella platorynchus"
"Farlowella schreitmuelleri"
"Farlowella smithi"
"Ferrarissoaresia ferrarisi "
"Fluviphylax gouldingi"
"Fluviphylax obscurus"
"Fluviphylax pygmaeus"
"Fluviphylax simplex"
"Fluviphylax wallacei"
"Fluviphylax zonatus"
"Fonchiiloricaria nanodon"
"Furcodontichthys novaesi"
"Galeocharax goeldii"
"Galeocharax gulo"
"Gasteropelecus levis"
"Gasteropelecus sternicla"
"Gelanoglanis nanonocticolus"
"Gelanoglanis pan"
"Gelanoglanis travieso"
"Gelanoglanis varii"
"Geophagus abalios"
"Geophagus altifrons"
"Geophagus argyrostictus"
"Geophagus brasiliensis"
"Geophagus camopiensis"
"Geophagus dicrozoster"
"Geophagus megasema"
"Geophagus mirabilis"
"Geophagus neambi"
"Geophagus proximus"
"Geophagus surinamensis"
"Geophagus sveni"
"Geophagus taeniopareius"
"Geophagus winemilleri"
"Gephyrocharax chaparae"
"Gephyrocharax major"
"Geryichthys sterbai"
"Gladioglanis anacanthus"
"Gladioglanis conquistador"
"Gladioglanis machadoi"
"Glanapteryx anguilla"
"Glanapteryx niobium"
"Glanidium ribeiroi"
"Gnathocharax steindachneri"
"Gnathodolus bidens"
"Goeldiella eques"
"Grundulus bogotensis"
"Grundulus cochae"
"Guianacara dacrya"
"Guyanancistrus megastictus"
"Guyanancistrus tenuis"
"Gymnocorymbus flaviolimai"
"Gymnocorymbus ternetzi"
"Gymnocorymbus thayeri"
"Gymnorhamphichthys bogardusae"
"Gymnorhamphichthys hypostomus"
"Gymnorhamphichthys petiti"
"Gymnorhamphichthys rondoni"
"Gymnorhamphichthys rosamariae"
"Gymnotus anguillaris"
"Gymnotus arapaima"
"Gymnotus arapiuns"
"Gymnotus aripuana"
"Gymnotus carapo"
"Gymnotus cataniapo"
"Gymnotus chaviro"
"Gymnotus coatesi"
"Gymnotus coropinae"
"Gymnotus curupira"
"Gymnotus diamantinensis"
"Gymnotus eyra"
"Gymnotus javari"
"Gymnotus jonasi"
"Gymnotus mamiraua"
"Gymnotus melanopleura"
"Gymnotus obscurus"
"Gymnotus onca"
"Gymnotus pantanal"
"Gymnotus pedanopterus"
"Gymnotus riberalta"
"Gymnotus stenoleucus"
"Gymnotus tigre"
"Gymnotus tiquie"
"Gymnotus ucamara"
"Gymnotus varzea"
"Haemomaster venezuelae"
"Harttia depressa"
"Harttia dissidens"
"Harttia duriventris"
"Harttia panara"
"Harttia punctata"
"Harttia rondoni"
"Harttia trombetensis"
"Harttia uatumensis"
"Harttia villasboas"
"Hasemania crenuchoides"
"Hasemania hanseni"
"Hasemania kalunga"
"Hasemania nambiquara"
"Hassar gabiru"
"Hassar orestis"
"Hassar shewellkeimi"
"Hassar wilderi"
"Heliotrygon gomesi"
"Heliotrygon rosai"
"Helogenes gouldingi"
"Helogenes marmoratus"
"Hemiancistrus cerrado"
"Hemiancistrus guahiborum"
"Hemiancistrus landoni"
"Hemiancistrus sabaji"
"Hemiancistrus snethlageae"
"Hemibrycon beni"
"Hemibrycon divisorensis"
"Hemibrycon helleri"
"Hemibrycon huambonicus"
"Hemibrycon inambari"
"Hemibrycon jelskii"
"Hemibrycon metae"
"Hemibrycon mikrostiktos"
"Hemibrycon orcesi"
"Hemibrycon polyodon"
"Hemibrycon surinamensis"
"Hemibrycon tridens"
"Hemidoras morrisi"
"Hemidoras stenopeltis"
"Hemigrammus aguaruna"
"Hemigrammus amacayacu"
"Hemigrammus analis"
"Hemigrammus arua"
"Hemigrammus ataktos"
"Hemigrammus bellottii"
"Hemigrammus bleheri"
"Hemigrammus changae"
"Hemigrammus coeruleus"
"Hemigrammus cupreus"
"Hemigrammus cylindricus"
"Hemigrammus diagonicus"
"Hemigrammus durbinae"
"Hemigrammus elegans"
"Hemigrammus erythrozonus"
"Hemigrammus filamentosus"
"Hemigrammus geisleri"
"Hemigrammus gracilis"
"Hemigrammus guyanensis"
"Hemigrammus haraldi"
"Hemigrammus hyanuary"
"Hemigrammus kuroobi"
"Hemigrammus levis"
"Hemigrammus luelingi"
"Hemigrammus lunatus"
"Hemigrammus machadoi"
"Hemigrammus marginatus"
"Hemigrammus megaceps"
"Hemigrammus melanochrous"
"Hemigrammus micropterus"
"Hemigrammus microstomus"
"Hemigrammus mimus"
"Hemigrammus neptunus"
"Hemigrammus newboldi"
"Hemigrammus ocellifer"
"Hemigrammus ora"
"Hemigrammus orthus"
"Hemigrammus parana"
"Hemigrammus pretoensis"
"Hemigrammus pulcher"
"Hemigrammus rhodostomus"
"Hemigrammus rodwayi"
"Hemigrammus rubrostriatus"
"Hemigrammus schmardae"
"Hemigrammus silimoni"
"Hemigrammus skolioplatus"
"Hemigrammus stictus"
"Hemigrammus tocantinsi"
"Hemigrammus tridens"
"Hemigrammus unilineatus"
"Hemigrammus vorderwinkleri"
"Hemigrammus xaveriellus"
"Hemigrammus yinyang"
"Hemiodontichthys acipenserinus"
"Hemiodus amazonum"
"Hemiodus argenteus"
"Hemiodus atranalis"
"Hemiodus bimaculatus"
"Hemiodus goeldii"
"Hemiodus gracilis"
"Hemiodus immaculatus"
"Hemiodus iratapuru"
"Hemiodus jatuarana"
"Hemiodus langeanii"
"Hemiodus microlepis"
"Hemiodus quadrimaculatus"
"Hemiodus semitaeniatus"
"Hemiodus sterni"
"Hemiodus ternetzi"
"Hemiodus thayeria"
"Hemiodus tocantinensis"
"Hemiodus tucupi"
"Hemiodus unimaculatus"
"Hemiodus vorderwinkleri"
"Hemisorubim platyrhynchos"
"Henonemus intermedius"
"Henonemus macrops"
"Henonemus punctatus"
"Heptapterus mustelinus"
"Heroina isonycterina"
"Heros efasciatus"
"Heros notatus"
"Heros severus"
"Heros spurius"
"Heterocharax leptogrammus"
"Heterocharax macrolepis"
"Heterocharax virgulatus"
"Hisonotus acuen"
"Hisonotus bockmanni"
"Hisonotus chromodontus"
"Hisonotus dinizae"
"Hisonotus luteofrenatus"
"Hoplarchus psittacus"
"Hoplerythrinus unitaeniatus"
"Hopliancistrus munduruku"
"Hopliancistrus tricornis"
"Hopliancistrus wolverine"
"Hopliancistrus xavante"
"Hopliancistrus xikrin"
"Hoplias aimara"
"Hoplias auri"
"Hoplias curupira"
"Hoplias lacerdae"
"Hoplias macrophthalmus"
"Hoplias malabaricus"
"Hoplocharax goethei"
"Hoplomyzon papillatus"
"Hoplosternum littorale"
"Horiomyzon retropinnatus"
"Hydrolycus armatus"
"Hydrolycus scomberoides"
"Hydrolycus tatauaia"
"Hydrolycus wallacei"
"Hypancistrus inspector"
"Hypancistrus margaritatus"
"Hypancistrus phantasma"
"Hypancistrus zebra"
"Hyphesobrycon diastatos"
"Hyphessobrycon agulha"
"Hyphessobrycon amandae"
"Hyphessobrycon amapaensis"
"Hyphessobrycon amaronensis"
"Hyphessobrycon anisitsi"
"Hyphessobrycon bentosi"
"Hyphessobrycon cachimbensis"
"Hyphessobrycon cantoi"
"Hyphessobrycon chiribiquete"
"Hyphessobrycon coelestinus"
"Hyphessobrycon copelandi"
"Hyphessobrycon cyanotaenia"
"Hyphessobrycon delimai"
"Hyphessobrycon diancistrus"
"Hyphessobrycon dorsalis"
"Hyphessobrycon ecuadoriensis"
"Hyphessobrycon eilyos"
"Hyphessobrycon eos"
"Hyphessobrycon epicharis"
"Hyphessobrycon eques"
"Hyphessobrycon ericae"
"Hyphessobrycon erythrostigma"
"Hyphessobrycon eschwartzae"
"Hyphessobrycon frankei"
"Hyphessobrycon geryi"
"Hyphessobrycon gracilior"
"Hyphessobrycon hamatus"
"Hyphessobrycon haraldschultzi"
"Hyphessobrycon hasemani"
"Hyphessobrycon heliacus"
"Hyphessobrycon heterorhabdus"
"Hyphessobrycon hexastichos"
"Hyphessobrycon jackrobertsi "
"Hyphessobrycon juruna"
"Hyphessobrycon kayabi"
"Hyphessobrycon khardinae"
"Hyphessobrycon krenakore"
"Hyphessobrycon langeanii"
"Hyphessobrycon loretoensis"
"Hyphessobrycon loweae"
"Hyphessobrycon lucenorum"
"Hyphessobrycon margitae"
"Hyphessobrycon megalopterus"
"Hyphessobrycon melanostichos"
"Hyphessobrycon melazonatus"
"Hyphessobrycon metae"
"Hyphessobrycon moniliger"
"Hyphessobrycon montagi"
"Hyphessobrycon mutabilis"
"Hyphessobrycon myrmex"
"Hyphessobrycon nigricinctus"
"Hyphessobrycon notidanos"
"Hyphessobrycon oritoensis"
"Hyphessobrycon paepkei"
"Hyphessobrycon pando"
"Hyphessobrycon peruvianus"
"Hyphessobrycon petricolus"
"Hyphessobrycon peugeoti"
"Hyphessobrycon pinnistriatus"
"Hyphessobrycon piranga"
"Hyphessobrycon platyodus"
"Hyphessobrycon procyon"
"Hyphessobrycon psittacus"
"Hyphessobrycon pulchripinnis"
"Hyphessobrycon pyrrhonotus"
"Hyphessobrycon rheophilus"
"Hyphessobrycon robustulus"
"Hyphessobrycon rosaceus"
"Hyphessobrycon sateremawe"
"Hyphessobrycon scholzei"
"Hyphessobrycon scutulatus"
"Hyphessobrycon socolofi"
"Hyphessobrycon stegemanni"
"Hyphessobrycon stramineus"
"Hyphessobrycon sweglesi"
"Hyphessobrycon taguae"
"Hyphessobrycon takasei"
"Hyphessobrycon taphorni"
"Hyphessobrycon tenuis"
"Hyphessobrycon tropis"
"Hyphessobrycon tukunai"
"Hyphessobrycon vanzolinii"
"Hyphessobrycon vilmae"
"Hyphessobrycon wadai"
"Hyphessobrycon weitzmanorum"
"Hyphessobrycon wosiackii"
"Hyphessobrycon zoe"
"Hypoclinemus mentalis"
"Hypodoras forficulatus"
"Hypomasticus julii"
"Hypomasticus lineomaculatus"
"Hypomasticus megalepis"
"Hypomasticus pachycheilus"
"Hypophthalmus edentatus"
"Hypophthalmus fimbriatus"
"Hypophthalmus marginatus"
"Hypophthalmus oremaculatus"
"Hypopomus artedi"
"Hypoptopoma baileyi"
"Hypoptopoma bianale"
"Hypoptopoma brevirostratum"
"Hypoptopoma elongatum"
"Hypoptopoma gulare"
"Hypoptopoma incognitum"
"Hypoptopoma muzuspi"
"Hypoptopoma psilogaster"
"Hypoptopoma steindachneri"
"Hypoptopoma thoracatum"
"Hypopygus benoneae"
"Hypopygus hoedemani"
"Hypopygus lepturus"
"Hypopygus minissimus"
"Hypopygus neblinae"
"Hypopygus nijsseni"
"Hypopygus ortegai"
"Hypopygus varii"
"Hyporhamphus brederi"
"Hypostomus asperatus"
"Hypostomus atropinnis"
"Hypostomus bolivianus"
"Hypostomus carinatus"
"Hypostomus dardanelos"
"Hypostomus delimai"
"Hypostomus ericae"
"Hypostomus ericius"
"Hypostomus faveolus"
"Hypostomus fonchii"
"Hypostomus goyazensis"
"Hypostomus hemicochliodon"
"Hypostomus hoplonites"
"Hypostomus kopeyaka"
"Hypostomus kuarup"
"Hypostomus labyrinthus"
"Hypostomus latirostris"
"Hypostomus levis"
"Hypostomus macushi"
"Hypostomus melanephelis"
"Hypostomus niceforoi"
"Hypostomus oculeus"
"Hypostomus pantherinus"
"Hypostomus paucipunctatus"
"Hypostomus plecostomus"
"Hypostomus pyrineusi"
"Hypostomus rondoni"
"Hypostomus sculpodon"
"Hypostomus simios"
"Hypostomus soniae"
"Hypostomus taphorni"
"Hypostomus varimaculosus"
"Hypostomus weberi"
"Hypostumus krishnamurtii"
"Hypselecara coryphaenoides"
"Hypselecara temporalis"
"Hypsolebias brunoi"
"Hypsolebias flammeus"
"Hypsolebias marginatus"
"Hypsolebias multiradiatus"
"Hypsolebias notatus"
"Hypsolebias radiosus"
"Hypsolebias tocantinensis"
"Iguanodectes adujai"
"Iguanodectes geisleri"
"Iguanodectes gracilis"
"Iguanodectes polylepis"
"Iguanodectes purusii"
"Iguanodectes rachovii"
"Iguanodectes spilurus"
"Iguanodectes variatus"
"Ilisha amazonica"
"Imparfinis borodini"
"Imparfinis cochabambae"
"Imparfinis guttatus"
"Imparfinis hasemani"
"Imparfinis longicaudus"
"Imparfinis minutus"
"Imparfinis mirini"
"Imparfinis munduruku"
"Imparfinis nemacheir"
"Imparfinis parvus"
"Imparfinis pristos"
"Imparfinis pseudonemacheir"
"Imparfinis stictonotus"
"Inpaichthys kerri"
"Iracema caiana"
"Ituglanis amazonicus"
"Ituglanis apteryx"
"Ituglanis bambui"
"Ituglanis boticario"
"Ituglanis compactus"
"Ituglanis epikarsticus"
"Ituglanis goya"
"Ituglanis gracilior"
"Ituglanis ina"
"Ituglanis macunaima"
"Ituglanis mambai"
"Ituglanis parkoi"
"Ituglanis passensis"
"Ituglanis ramiroi"
"Jupiaba abramoides"
"Jupiaba acanthogaster"
"Jupiaba anteroides"
"Jupiaba apenima"
"Jupiaba asymmetrica"
"Jupiaba atypindi"
"Jupiaba citrina"
"Jupiaba elassonaktis"
"Jupiaba iasy"
"Jupiaba kurua"
"Jupiaba minor"
"Jupiaba paranatinga"
"Jupiaba pinnata"
"Jupiaba pirana"
"Jupiaba poekotero"
"Jupiaba polylepis"
"Jupiaba poranga"
"Jupiaba scologaster"
"Jupiaba yarina"
"Jupiaba zonata"
"Jurengraulis juruensis"
"Klausewitzia ritae"
"Knodus angustus"
"Knodus borki"
"Knodus breviceps"
"Knodus chapadae"
"Knodus cupariensis"
"Knodus delta"
"Knodus dorsomaculatus"
"Knodus figueiredoi"
"Knodus gamma"
"Knodus heteresthes"
"Knodus hypopterus"
"Knodus megalops"
"Knodus mizquae"
"Knodus moenkhausii"
"Knodus nuptialis"
"Knodus orteguasae"
"Knodus pasco"
"Knodus savannensis"
"Knodus septentrionalis"
"Knodus shinahota"
"Knodus smithi"
"Knodus tiquiensis"
"Knodus victoriae"
"Krobia xinguensis"
"Laemolyta fasciata"
"Laemolyta fernandezi"
"Laemolyta garmani"
"Laemolyta proxima"
"Laemolyta taeniata"
"Laetacara araguaiae"
"Laetacara curviceps"
"Laetacara dorsigera"
"Laetacara flavilabris"
"Laetacara fulvipinnis"
"Laetacara thayeri"
"Laimosemion amanapira"
"Laimosemion breviceps"
"Laimosemion carolinae"
"Laimosemion dibaphus"
"Laimosemion dili"
"Laimosemion flammaecauda"
"Laimosemion geayi"
"Laimosemion gili"
"Laimosemion jauaperi"
"Laimosemion kirovskyi"
"Laimosemion leticia"
"Laimosemion rectocaudatus"
"Laimosemion romeri"
"Laimosemion staecki"
"Laimosemion strigatus"
"Laimosemion uakti"
"Laimosemion uatuman"
"Laimosemion ubim"
"Lamontichthys avacanoeiro"
"Lamontichthys filamentosus"
"Lamontichthys parakana"
"Lamontichthys stibaros"
"Lasiancistrus heteracanthus"
"Lasiancistrus schomburgkii"
"Lebiasina bimaculata"
"Lebiasina intermedia"
"Lebiasina marilynae"
"Lebiasina melanoguttata"
"Lebiasina minuta"
"Lebiasina yepezi"
"Leiarius marmoratus"
"Leiarius pictus"
"Lepidosiren paradoxa"
"Leporacanthicus galaxias"
"Leporacanthicus heterodon"
"Leporacanthicus joselimai"
"Leporellus vittatus"
"Leporinus affinis"
"Leporinus agassizii"
"Leporinus alternus"
"Leporinus altipinnis"
"Leporinus amazonicus"
"Leporinus aripuanaensis"
"Leporinus bimaculatus"
"Leporinus bistriatus"
"Leporinus bleheri"
"Leporinus britskii"
"Leporinus brunneus"
"Leporinus cylindriformis"
"Leporinus desmotes"
"Leporinus falcipinnis"
"Leporinus fasciatus"
"Leporinus friderici"
"Leporinus geminis"
"Leporinus gomesi"
"Leporinus granti"
"Leporinus guttatus"
"Leporinus holostictus"
"Leporinus jamesi"
"Leporinus jatuncochi"
"Leporinus klausewitzi"
"Leporinus maculatus"
"Leporinus marcgravii"
"Leporinus melanostictus"
"Leporinus microphysus"
"Leporinus moralesi"
"Leporinus multifasciatus"
"Leporinus multimaculatus"
"Leporinus nattereri"
"Leporinus niceforoi"
"Leporinus nigrotaeniatus"
"Leporinus octomaculatus"
"Leporinus ortomaculatus"
"Leporinus pachyurus"
"Leporinus parae"
"Leporinus parvulus"
"Leporinus pearsoni"
"Leporinus pellegrinii"
"Leporinus pitingai"
"Leporinus reticulatus"
"Leporinus santosi"
"Leporinus sexstriatus"
"Leporinus sidlauskasi"
"Leporinus steyermarki"
"Leporinus striatus"
"Leporinus subniger"
"Leporinus taeniofasciatus"
"Leporinus tigrinus"
"Leporinus torrenticola"
"Leporinus trimaculatus"
"Leporinus tristriatus"
"Leporinus unitaeniatus"
"Leporinus vanzoi"
"Leporinus venerei"
"Leporinus villasboasorum"
"Leporinus wolfei"
"Leporinus y-ophorus"
"Leptagoniates steindachneri"
"Lepthoplosternum altamazonicum"
"Lepthoplosternum beni"
"Lepthoplosternum stellatum"
"Lepthoplosternum ucamara"
"Leptobrycon jatuaranae"
"Leptocharacidium omospilus"
"Leptodoras acipenserinus"
"Leptodoras cataniai"
"Leptodoras copei"
"Leptodoras hasemani"
"Leptodoras juruensis"
"Leptodoras linnelli"
"Leptodoras marki"
"Leptodoras myersi"
"Leptodoras oyakawai"
"Leptodoras praelongus"
"Leptophilypnion fittkaui"
"Leptophilypnion pusillus"
"Leptorhamdia essequibensis"
"Leptorhamdia marmorata"
"Leptorhamdia schultzi"
"Leptotocinclus ctenistus"
"Leptotocinclus madeirae"
"Limatulichthys griseus"
"Liosomadoras morrowi"
"Liosomadoras oncinus"
"Lipopterichthys carrioni"
"Lithodoras dorsalis"
"Lithoxus bovallii"
"Lithoxus jariensis"
"Lonchogenys ilisha"
"Loraxichthys lexa"
"Loricaria birindellii"
"Loricaria cataphracta"
"Loricaria clavipinna"
"Loricaria cuffyi"
"Loricaria lata"
"Loricaria lundbergi"
"Loricaria pumila"
"Loricaria simillima"
"Loricaria spinulifera"
"Loricariichthys acutus"
"Loricariichthys brunneus"
"Loricariichthys cashibo"
"Loricariichthys chanjoo"
"Loricariichthys hauxwelli"
"Loricariichthys maculatus"
"Loricariichthys nudirostris"
"Loricariichthys platymetopon"
"Loricariichthys stuebelii"
"Loricariichthys ucayalensis"
"Lycengraulis batesii"
"Lycengraulis figueiredoi"
"Lycengraulis grossidens"
"Macropsobrycon xinguensis"
"Magosternarchus duccis"
"Magosternarchus raptor"
"Malacoglanis gelatinosus"
"Maratecoara formosa"
"Maratecoara gesmonei"
"Maratecoara lacortei"
"Maratecoara splendida"
"Markiana nigripinnis"
"Mastiglanis asopos"
"Mastiglanis yaguas"
"Megadontognathus kaitukaensis"
"Megalechis picta"
"Megalechis thoracata"
"Megaleporinus trifasciatus"
"Megalocentor echthrus"
"Megalodoras uranoscopus"
"Megalonema amaxanthum"
"Megalonema platycephalum"
"Melanocharacidium auroradiatum"
"Melanocharacidium depressum"
"Melanocharacidium dispilomma"
"Melanocharacidium nigrum"
"Melanocharacidium pectorale"
"Melanocharacidium rex"
"Melanorivulus aithogrammus"
"Melanorivulus britzkei"
"Melanorivulus canesi"
"Melanorivulus crixas"
"Melanorivulus ignescens"
"Melanorivulus imperatrizensis"
"Melanorivulus jalapensis"
"Melanorivulus javahe"
"Melanorivulus karaja"
"Melanorivulus kayabi"
"Melanorivulus kayapo"
"Melanorivulus kunzei"
"Melanorivulus litteratus"
"Melanorivulus megaroni"
"Melanorivulus modestus"
"Melanorivulus petrisecundi"
"Melanorivulus pictus"
"Melanorivulus pindorama"
"Melanorivulus planaltinus"
"Melanorivulus rubromarginatus"
"Melanorivulus rubroreticulatus"
"Melanorivulus salmonicaudus"
"Melanorivulus spixi"
"Melanorivulus ubirajarai"
"Melanorivulus violaceus"
"Melanorivulus wallacei"
"Melanorivulus zygonectes"
"Melanosternarchus amaru"
"Mesonauta acora"
"Mesonauta egregius"
"Mesonauta festivus"
"Mesonauta guyanae"
"Mesonauta insignis"
"Mesonauta mirificus"
"Metynnis argenteus"
"Metynnis cuiaba"
"Metynnis fasciatus"
"Metynnis guaporensis"
"Metynnis hypsauchen"
"Metynnis lippincottianus"
"Metynnis longipinnis"
"Metynnis luna"
"Metynnis maculatus"
"Metynnis melanogrammus"
"Metynnis polystictus"
"Microcharacidium bombioides"
"Microcharacidium eleotrioides"
"Microcharacidium geryi"
"Microcharacidium gnomus"
"Microcharacidium weitzmani"
"Microgenys lativirgata"
"Microgenys weyrauchi"
"Microglanis iheringi"
"Microglanis lundbergi"
"Microglanis maculatus"
"Microglanis oliveirai"
"Microglanis pellopterygius"
"Microglanis poecilus"
"Microglanis robustus"
"Microglanis sparsus"
"Microglanis xerente"
"Microglanis xylographicus"
"Microglanis zonatus"
"Micromischodus sugillatus"
"Micromyzon akamai"
"Microphilypnus acangaquara"
"Microphilypnus amazonicus"
"Microphilypnus hypolyrasimeion"
"Microphilypnus macrostoma"
"Microphilypnus tapajosensis"
"Microphilypnus ternetzi"
"Microplecostomus forestii"
"Micropoecilia branneri"
"Microschemobrycon callops"
"Microschemobrycon casiquiare"
"Microschemobrycon cryptogrammus"
"Microschemobrycon elongatus"
"Microschemobrycon geisleri"
"Microschemobrycon guaporensis"
"Microschemobrycon melanotus"
"Microschemobrycon meyburgi"
"Microsternarchus bilineatus"
"Microsternarchus brevis"
"Mikrogeophagus altispinosus"
"Miuroglanis platycephalus"
"Moema apurinan"
"Moema beucheyi"
"Moema funkneri"
"Moema hellneri"
"Moema kenwoodi"
"Moema manuensis"
"Moema nudifrontata"
"Moema pepotei"
"Moema portugali"
"Moema quiii"
"Moema staecki"
"Moenkhausia abyss"
"Moenkhausia affinis"
"Moenkhausia agnesae"
"Moenkhausia alesis"
"Moenkhausia andrica"
"Moenkhausia atahualpiana"
"Moenkhausia aurantia"
"Moenkhausia australe"
"Moenkhausia barbouri"
"Moenkhausia bellasomniosa"
"Moenkhausia beninei"
"Moenkhausia bonita"
"Moenkhausia britskii"
"Moenkhausia browni"
"Moenkhausia cambacica"
"Moenkhausia celibela"
"Moenkhausia ceros"
"Moenkhausia chlorophthalma"
"Moenkhausia chrysargyrea"
"Moenkhausia collettii"
"Moenkhausia comma"
"Moenkhausia conspicua"
"Moenkhausia copei"
"Moenkhausia cosmops"
"Moenkhausia cotinho"
"Moenkhausia crisnejas"
"Moenkhausia dasalmas"
"Moenkhausia dichroura"
"Moenkhausia diktyota"
"Moenkhausia dorsinuda"
"Moenkhausia eurystaenia"
"Moenkhausia goya"
"Moenkhausia gracilima"
"Moenkhausia grandisquamis"
"Moenkhausia hasemani"
"Moenkhausia heikoi"
"Moenkhausia hemigrammoides"
"Moenkhausia hysterosticta"
"Moenkhausia icae"
"Moenkhausia intermedia"
"Moenkhausia ischyognatha"
"Moenkhausia jamesi"
"Moenkhausia justae"
"Moenkhausia lata"
"Moenkhausia latissima"
"Moenkhausia lepidura"
"Moenkhausia levidorsa"
"Moenkhausia lineomaculata"
"Moenkhausia lopesi"
"Moenkhausia loweae"
"Moenkhausia margitae"
"Moenkhausia megalops"
"Moenkhausia melogramma"
"Moenkhausia miangi"
"Moenkhausia mikia"
"Moenkhausia monicae"
"Moenkhausia mutum"
"Moenkhausia naponis"
"Moenkhausia newtoni"
"Moenkhausia nigromarginata"
"Moenkhausia oligolepis"
"Moenkhausia orteguasae"
"Moenkhausia ovalis"
"Moenkhausia pankilopteryx"
"Moenkhausia parecis"
"Moenkhausia petymbuaba"
"Moenkhausia phaenota"
"Moenkhausia phaeonota"
"Moenkhausia pirahan"
"Moenkhausia pirauba"
"Moenkhausia plumbea"
"Moenkhausia pyrophthalma"
"Moenkhausia restricta"
"Moenkhausia robertsi"
"Moenkhausia rondoni"
"Moenkhausia rubra"
"Moenkhausia sanctaefilomenae"
"Moenkhausia simulata"
"Moenkhausia sthenosthoma"
"Moenkhausia takasei"
"Moenkhausia tergimacula"
"Moenkhausia tridentata"
"Moenkhausia uirapuru"
"Moenkhausia venerei"
"Moenkhausia xinguensis"
"Monocirrhus polyacanthus"
"Monotocheirodon drilos"
"Monotocheirodon kontos"
"Monotocheirodon pearsoni"
"Mylesinus paraschomburgkii"
"Mylesinus paucisquamatus"
"Myleus pachyodus"
"Myleus pacu"
"Myleus setiger"
"Myleus torquatus"
"Myloplus arnoldi"
"Myloplus asterias"
"Myloplus lobatus"
"Myloplus lucienae"
"Myloplus nigrolineatus"
"Myloplus rhomboidalis"
"Myloplus rubripinnis"
"Myloplus schomburgkii"
"Myloplus torquatus"
"Myloplus zorroi"
"Mylossoma aureum"
"Mylossoma duriventre"
"Mylossoma unimaculatum"
"Myoglanis koepckei"
"Nannacara adoketa"
"Nannoglanis fasciatus"
"Nannoplecostomus eleonorae"
"Nannoptopoma spectabile"
"Nannoptopoma sternoptychum"
"Nannostomus anduzei"
"Nannostomus beckfordi"
"Nannostomus britskii"
"Nannostomus digrammus"
"Nannostomus eques"
"Nannostomus espei"
"Nannostomus harrisoni"
"Nannostomus limatus"
"Nannostomus marginatus"
"Nannostomus marilynae"
"Nannostomus mortenthaleri"
"Nannostomus nitidus"
"Nannostomus rubrocaudatus"
"Nannostomus trifasciatus"
"Nannostomus unifasciatus"
"Nannoxyropsis acicula"
"Nannoxyropsis ephippia"
"Neblinichthys pilosus"
"Nemadoras cristinae"
"Nemadoras elongatus"
"Nemadoras hemipeltis"
"Nemadoras humeralis"
"Nemuroglanis furcatus"
"Nemuroglanis lanceolatus"
"Nemuroglanis pauciradiatus"
"Neofundulus guaporensis"
"Neofundulus ornatipinnis"
"Neofundulus splendidus"
"Niobichthys ferrarisi"
"Ochmacanthus alternus"
"Ochmacanthus orinoco"
"Ochmacanthus reinhardtii"
"Odontocharacidium aphanes"
"Odontocharacidium varii"
"Odontostilbe dierythrura"
"Odontostilbe ecuadorensis"
"Odontostilbe euspilurus"
"Odontostilbe fugitiva"
"Odontostilbe nareuda"
"Odontostilbe parecis"
"Odontostilbe roloffi"
"Oligancistrus punctatissimus"
"Oligosarcus schindleri"
"Opsodoras boulengeri"
"Opsodoras morei"
"Opsodoras stuebelii"
"Orestias agassizii"
"Orestias empyraeus"
"Orestias gymnota"
"Orestias jussiei"
"Orestias mundus"
"Orestias pentlandii"
"Orestias polonorum"
"Orthosternarchus tamandua"
"Ossancora asterophysa"
"Ossancora eigenmanni"
"Ossancora fimbriata"
"Ossancora punctata"
"Ossubtus xinguense"
"Osteoglossum bicirrhosum"
"Osteoglossum ferreirai"
"Othonocheirodus eigenmanni"
"Otocinclus batmani"
"Otocinclus caxarari"
"Otocinclus cocama"
